round_num,Vendor A (constant_markup),Vendor B (undercutter),Vendor C (tit_for_tat),Vendor D (undercutter),Vendor E (constant_markup),Vendor F (random)
1,7.0,9.0,9.0,9.0,4.5,6.89
2,7.0,4.0,7.28,4.4,4.5,4.81
3,7.0,3.9,4.94,3.9,4.5,10.81
4,7.0,3.4,6.02,3.8,4.5,3.87
5,7.0,3.3,4.51,3.3,4.5,9.43
6,7.0,3.0,5.51,3.2,4.5,7.39
7,7.0,3.0,5.02,3.0,4.5,3.7
8,7.0,3.0,4.24,3.0,4.5,9.09
9,7.0,3.0,5.32,3.0,4.5,3.45
10,7.0,3.0,4.19,3.0,4.5,8.2
11,7.0,3.0,5.14,3.0,4.5,3.84
12,7.0,3.0,4.27,3.0,4.5,4.09
13,7.0,3.0,4.32,3.0,4.5,8.09
14,7.0,3.0,5.12,3.0,4.5,12.92
15,7.0,3.0,6.08,3.0,4.5,4.49
16,7.0,3.0,4.4,3.0,4.5,5.68
17,7.0,3.0,4.64,3.0,4.5,10.53
18,7.0,3.0,5.61,3.0,4.5,14.37
19,7.0,3.0,6.37,3.0,4.5,9.93
20,7.0,3.0,5.49,3.0,4.5,7.76
21,7.0,3.0,5.05,3.0,4.5,14.72
22,7.0,3.0,6.44,3.0,4.5,3.56
23,7.0,3.0,4.21,3.0,4.5,13.3
24,7.0,3.0,6.16,3.0,4.5,6.48
25,7.0,3.0,4.8,3.0,4.5,4.73
26,7.0,3.0,4.45,3.0,4.5,4.41
27,7.0,3.0,4.38,3.0,4.5,6.7
28,7.0,3.0,4.84,3.0,4.5,12.79
29,7.0,3.0,6.06,3.0,4.5,5.17
30,7.0,3.0,4.53,3.0,4.5,9.98
